Time,Value,Call Sum (in K),Put Sum (in K),Difference (in K),Call Boundary (in K),Put Boundary (in K),Call ITM,Put ITM
15:30:00,45970.95,10.0,15.2,-5.2,10.4,-1.2,0.4,0.9
15:30:00,45970.95,-43.1,-53.5,10.4,-1.4,-42.1,0.7,-0.6
15:30:00,45970.95,-2.1,14.2,-16.3,-0.4,10.2,-2.5,0.1
12:22:35,45943.65,267.1,49.9,217.2,82.7,51.2,-0.2,0.9
15:30:00,45690.8,127.7,-20.8,148.5,43.0,-17.3,0.0,5.4
15:30:00,45690.8,151.3,100.4,50.9,75.9,12.5,-1.1,0.1
09:16:16,45999.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:15:44,45944.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:17:46,45999.65,-15.3,70.7,-86.0,-11.3,25.8,5.8,0.0
09:17:46,45999.65,82.3,82.0,0.3,21.7,68.0,0.0,-0.6
09:18:47,46015.75,-15.3,70.7,-86.0,-11.3,25.8,5.8,0.0
09:18:47,46015.75,82.3,82.0,0.3,21.7,68.0,0.0,-0.6
09:20:16,45994.85,216.0,172.4,43.6,66.1,135.9,0.1,-0.3
09:20:16,45994.85,-18.9,162.5,-181.4,-10.8,68.7,4.7,0.0
09:20:46,45994.85,216.0,172.4,43.6,66.1,135.9,0.1,-0.3
09:20:46,45994.85,-18.9,162.5,-181.4,-10.8,68.7,4.7,0.0
09:21:47,45986.25,216.0,172.4,43.6,66.1,135.9,0.1,-0.3
09:21:47,45986.25,-18.9,162.5,-181.4,-10.8,68.7,4.7,0.0
09:23:47,45995.15,-17.3,218.5,-235.8,-8.4,94.2,2.4,0.0
09:24:17,46009.95,321.7,230.5,91.2,92.5,174.6,0.1,-0.1
09:24:47,46009.95,-17.3,218.5,-235.8,-8.4,94.2,2.4,0.0
09:24:47,46009.95,321.7,230.5,91.2,92.5,174.6,0.1,-0.1
09:25:17,46050.7,-17.3,218.5,-235.8,-8.4,94.2,2.4,0.0
09:25:17,46050.7,321.7,230.5,91.2,92.5,174.6,0.1,-0.1
09:26:17,46050.7,-17.3,218.5,-235.8,-8.4,94.2,2.4,0.0
09:26:17,46050.7,321.7,230.5,91.2,92.5,174.6,0.1,-0.1
09:26:47,46050.7,-17.3,218.5,-235.8,-8.4,94.2,2.4,0.0
09:28:17,45967.85,358.2,288.3,69.9,105.2,211.2,0.1,-0.1
